,date,price,bedrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,geometry,month
13,2014-10-07,400000.0,3,1370,9680,1.0,0.0,0.0,4,0.0,1977,0.0,98074,47.6127,-122.045,1370,10208,POINT (-122.045 47.6127),10
14,2015-03-12,530000.0,5,1810,4850,1.5,0.0,0.0,3,0.0,1900,0.0,98107,47.67,-122.39399999999999,1360,4850,POINT (-122.394 47.67),3
15,2015-01-24,650000.0,4,2950,5000,2.0,0.0,3.0,3,970.0,1979,0.0,98126,47.5714,-122.375,2140,4000,POINT (-122.375 47.5714),1
16,2014-07-31,395000.0,3,1890,14040,2.0,0.0,0.0,3,0.0,1994,0.0,98019,47.7277,-121.962,1890,14018,POINT (-121.962 47.7277),7
17,2014-05-29,485000.0,4,1600,4300,1.5,0.0,0.0,4,0.0,1916,0.0,98103,47.6648,-122.34299999999999,1610,4300,POINT (-122.343 47.6648),5
18,2014-12-05,189000.0,2,1200,9850,1.0,0.0,0.0,4,0.0,1921,0.0,98002,47.3089,-122.21,1060,5095,POINT (-122.21 47.3089),12
19,2015-04-24,230000.0,3,1250,9774,1.0,0.0,0.0,4,0.0,1969,0.0,98003,47.3343,-122.306,1280,8850,POINT (-122.306 47.3343),4
20,2014-05-14,385000.0,4,1620,4980,1.0,0.0,0.0,4,760.0,1947,0.0,98133,47.7025,-122.34100000000001,1400,4980,POINT (-122.341 47.7025),5
21,2014-08-26,2000000.0,3,3050,44867,1.0,0.0,4.0,3,720.0,1968,0.0,98040,47.5316,-122.23299999999999,4110,20336,POINT (-122.233 47.5316),8
22,2014-07-03,285000.0,5,2270,6300,2.0,0.0,0.0,3,0.0,1995,0.0,98092,47.3266,-122.169,2240,7005,POINT (-122.169 47.3266),7
23,2014-05-16,252700.0,2,1070,9643,1.0,0.0,0.0,3,0.0,1985,0.0,98030,47.3533,-122.166,1220,8386,POINT (-122.166 47.3533),5
24,2014-11-20,329000.0,3,2450,6500,2.0,0.0,0.0,4,0.0,1985,0.0,98030,47.3739,-122.17200000000001,2200,6865,POINT (-122.172 47.3739),11
25,2014-11-03,233000.0,3,1710,4697,1.5,0.0,0.0,5,0.0,1941,0.0,98002,47.3048,-122.21799999999999,1030,4705,POINT (-122.218 47.3048),11
26,2014-06-26,937000.0,3,2450,2691,2.0,0.0,0.0,3,700.0,1915,0.0,98119,47.6386,-122.36,1760,3573,POINT (-122.36 47.6386),6
27,2014-12-01,667000.0,3,1400,1581,1.5,0.0,0.0,5,0.0,1909,0.0,98112,47.6221,-122.314,1860,3861,POINT (-122.314 47.6221),12
28,2014-06-24,438000.0,3,1520,6380,1.0,0.0,0.0,3,730.0,1948,0.0,98115,47.695,-122.304,1520,6235,POINT (-122.304 47.695),6
29,2015-03-02,719000.0,4,2570,7173,2.0,0.0,0.0,3,0.0,2005,0.0,98052,47.7073,-122.11,2630,6026,POINT (-122.11 47.7073),3
30,2014-11-10,580500.0,3,2320,3980,2.0,0.0,0.0,3,0.0,2003,0.0,98027,47.5391,-122.07,2580,3980,POINT (-122.07 47.5391),11
31,2014-12-01,280000.0,2,1190,1265,3.0,0.0,0.0,3,0.0,2005,0.0,98133,47.7274,-122.35700000000001,1390,1756,POINT (-122.357 47.7274),12
32,2014-06-24,687500.0,4,2330,5000,1.5,0.0,0.0,4,820.0,1929,0.0,98117,47.6823,-122.368,1460,5000,POINT (-122.368 47.6823),6
33,2014-11-10,535000.0,3,1090,3000,1.5,0.0,0.0,4,0.0,1929,0.0,98117,47.6889,-122.375,1570,5080,POINT (-122.375 47.6889),11
34,2014-12-03,322500.0,4,2060,6659,1.0,0.0,0.0,3,780.0,1981,0.0,98058,47.4276,-122.15700000000001,2020,8720,POINT (-122.157 47.4276),12
35,2014-06-13,696000.0,3,2300,3060,1.5,0.0,0.0,3,790.0,1930,2002.0,98115,47.6827,-122.31,1590,3264,POINT (-122.31 47.6827),6
36,2014-05-28,550000.0,4,1660,34848,1.0,0.0,0.0,1,730.0,1933,0.0,98052,47.6621,-122.132,2160,11467,POINT (-122.132 47.6621),5
37,2014-12-30,640000.0,4,2360,6000,2.0,0.0,0.0,4,0.0,1904,0.0,98107,47.6702,-122.36200000000001,1730,4700,POINT (-122.362 47.6702),12
38,2015-02-13,240000.0,4,1220,8075,1.0,0.0,0.0,2,330.0,1969,0.0,98001,47.3341,-122.28200000000001,1290,7800,POINT (-122.282 47.3341),2
39,2014-06-20,605000.0,4,2620,7553,2.0,0.0,0.0,3,0.0,1996,0.0,98056,47.5301,-122.18,2620,11884,POINT (-122.18 47.5301),6
40,2014-07-15,625000.0,4,2570,5520,2.0,0.0,0.0,3,0.0,2000,0.0,98074,47.6145,-122.027,2470,5669,POINT (-122.027 47.6145),7
41,2014-08-11,775000.0,4,4220,24186,1.0,0.0,0.0,3,1620.0,1984,0.0,98166,47.445,-122.34700000000001,2410,30617,POINT (-122.347 47.445),8
42,2014-07-07,861990.0,5,3595,5639,2.0,0.0,0.0,3,0.0,2014,0.0,98053,47.6848,-122.016,3625,5639,POINT (-122.016 47.6848),7
43,2014-10-28,685000.0,3,1570,2280,2.0,0.0,0.0,3,0.0,1922,0.0,98119,47.6413,-122.36399999999999,1580,2640,POINT (-122.364 47.6413),10
44,2014-07-29,309000.0,3,1280,9656,1.0,0.0,0.0,4,360.0,1959,0.0,98058,47.4485,-122.175,1340,8808,POINT (-122.175 47.4485),7
45,2014-07-18,488000.0,3,3160,13603,2.0,0.0,0.0,3,0.0,2003,0.0,98019,47.7443,-121.977,3050,9232,POINT (-121.977 47.7443),7
46,2015-03-25,210490.0,3,990,8528,1.0,0.0,0.0,3,0.0,1966,0.0,98023,47.3066,-122.37100000000001,1228,8840,POINT (-122.371 47.3066),3
47,2014-07-16,785000.0,4,2290,13416,2.0,0.0,0.0,4,0.0,1981,0.0,98007,47.6194,-122.15100000000001,2680,13685,POINT (-122.151 47.6194),7
48,2015-04-28,450000.0,3,1250,5963,1.0,0.0,0.0,4,0.0,1953,0.0,98115,47.6796,-122.301,970,5100,POINT (-122.301 47.6796),4
49,2015-03-11,1350000.0,3,2753,65005,1.0,1.0,2.0,5,588.0,1953,0.0,98070,47.4041,-122.45100000000001,2680,72513,POINT (-122.451 47.4041),3
50,2014-09-16,228000.0,3,1190,9199,1.0,0.0,0.0,3,0.0,1955,0.0,98148,47.4258,-122.322,1190,9364,POINT (-122.322 47.4258),9
51,2015-02-17,345000.0,5,3150,9134,1.0,0.0,0.0,4,1510.0,1966,0.0,98056,47.4934,-122.189,1990,9133,POINT (-122.189 47.4934),2
52,2014-12-31,600000.0,3,1410,4080,1.0,0.0,0.0,4,410.0,1950,0.0,98117,47.6808,-122.384,1410,4080,POINT (-122.384 47.6808),12
53,2015-02-05,585000.0,2,1980,8550,1.0,0.0,0.0,3,990.0,1981,0.0,98117,47.6989,-122.369,1480,6738,POINT (-122.369 47.6989),2
54,2015-03-03,920000.0,5,2730,6000,1.5,0.0,0.0,3,600.0,1927,0.0,98105,47.6571,-122.281,2730,6000,POINT (-122.281 47.6571),3
55,2014-05-12,885000.0,4,2830,5000,2.0,0.0,0.0,3,0.0,1995,0.0,98105,47.6597,-122.29,1950,5000,POINT (-122.29 47.6597),5
56,2014-08-19,292500.0,4,2250,4495,2.0,0.0,0.0,3,0.0,2008,0.0,98042,47.3663,-122.11399999999999,2250,4500,POINT (-122.114 47.3663),8
57,2015-04-07,301000.0,3,2420,4750,2.0,0.0,0.0,3,0.0,2003,0.0,98042,47.3663,-122.12200000000001,2690,4750,POINT (-122.122 47.3663),4
58,2014-08-27,951000.0,5,3250,14342,2.0,0.0,4.0,4,0.0,1968,0.0,98008,47.588,-122.116,2960,11044,POINT (-122.116 47.588),8
59,2015-02-23,430000.0,4,1850,9976,2.0,0.0,0.0,3,0.0,1991,0.0,98059,47.5059,-122.149,2270,8542,POINT (-122.149 47.5059),2
60,2014-12-10,650000.0,3,2150,21235,1.0,0.0,3.0,4,560.0,1959,0.0,98166,47.4336,-122.339,2570,18900,POINT (-122.339 47.4336),12
61,2014-08-28,289000.0,3,1260,8400,1.0,0.0,0.0,3,0.0,1954,0.0,98148,47.4366,-122.335,1290,8750,POINT (-122.335 47.4366),8
62,2014-10-21,505000.0,3,2519,8690,2.0,0.0,0.0,5,0.0,1973,0.0,98166,47.4428,-122.344,2500,9500,POINT (-122.344 47.4428),10
63,2014-12-07,549000.0,3,1540,1044,3.0,0.0,0.0,3,0.0,2014,0.0,98115,47.6765,-122.32,1580,3090,POINT (-122.32 47.6765),12
64,2014-06-03,425000.0,3,1660,6000,1.0,0.0,0.0,3,550.0,1979,0.0,98122,47.6113,-122.29700000000001,1440,4080,POINT (-122.297 47.6113),6
65,2014-11-20,317625.0,3,2770,3809,1.5,0.0,0.0,5,1000.0,1925,0.0,98144,47.5747,-122.304,1440,4000,POINT (-122.304 47.5747),11
66,2014-09-09,975000.0,4,2720,11049,2.0,0.0,0.0,3,0.0,1989,0.0,98004,47.5815,-122.19200000000001,2750,11049,POINT (-122.192 47.5815),9
67,2014-10-09,287000.0,4,2240,4648,2.0,0.0,0.0,3,0.0,2005,0.0,98001,47.3378,-122.257,2221,4557,POINT (-122.257 47.3378),10
68,2014-08-25,204000.0,3,1000,12070,1.0,0.0,0.0,4,0.0,1968,0.0,98042,47.3621,-122.11,1010,12635,POINT (-122.11 47.3621),8
69,2014-06-12,1330000.0,5,3200,20158,1.0,0.0,0.0,3,1600.0,1965,0.0,98004,47.6303,-122.215,3390,20158,POINT (-122.215 47.6303),6
70,2014-09-12,1040000.0,5,4770,50094,1.0,0.0,0.0,4,1700.0,1973,0.0,98005,47.6525,-122.16,3530,38917,POINT (-122.16 47.6525),9
71,2015-01-05,325000.0,3,1260,5612,1.0,0.0,0.0,4,0.0,1972,0.0,98034,47.7362,-122.179,1640,4745,POINT (-122.179 47.7362),1
72,2014-06-10,571000.0,4,2750,7807,1.5,0.0,0.0,5,500.0,1916,0.0,98125,47.7168,-122.287,1510,7807,POINT (-122.287 47.7168),6
73,2014-07-10,360000.0,4,2380,5000,2.0,0.0,0.0,3,0.0,2005,0.0,98038,47.3608,-122.036,2420,5000,POINT (-122.036 47.3608),7
74,2015-03-16,349000.0,3,1790,50529,1.0,0.0,0.0,5,700.0,1965,0.0,98042,47.3511,-122.073,1940,50529,POINT (-122.073 47.3511),3
75,2014-11-05,832500.0,4,3430,35102,2.0,0.0,0.0,4,1040.0,1986,0.0,98075,47.5822,-121.98700000000001,3240,35020,POINT (-121.987 47.5822),11
76,2014-10-13,380000.0,4,1760,7300,1.0,0.0,0.0,3,880.0,1956,0.0,98008,47.6034,-122.125,1680,7500,POINT (-122.125 47.6034),10
77,2015-04-20,480000.0,3,1040,5060,1.0,0.0,0.0,3,0.0,1941,0.0,98116,47.5636,-122.39399999999999,890,5060,POINT (-122.394 47.5636),4
78,2014-06-09,410000.0,3,1410,5060,1.0,0.0,0.0,4,500.0,1956,0.0,98133,47.7073,-122.34,1130,5693,POINT (-122.34 47.7073),6
79,2015-03-23,720000.0,4,3450,39683,2.0,0.0,0.0,3,0.0,2002,0.0,98010,47.342,-122.025,3350,39750,POINT (-122.025 47.342),3
80,2014-12-02,390000.0,3,2350,5100,2.0,0.0,0.0,3,0.0,2003,0.0,98038,47.3512,-122.008,2350,5363,POINT (-122.008 47.3512),12
81,2014-12-22,360000.0,4,1900,5889,2.0,0.0,0.0,3,0.0,1992,0.0,98038,47.349,-122.031,1870,6405,POINT (-122.031 47.349),12
82,2014-10-28,355000.0,2,2020,6720,1.0,0.0,0.0,3,1010.0,1948,0.0,98118,47.5474,-122.291,1720,6720,POINT (-122.291 47.5474),10
83,2015-01-28,356000.0,3,1680,8712,1.0,0.0,0.0,3,0.0,1964,0.0,98059,47.4811,-122.149,1850,8797,POINT (-122.149 47.4811),1
84,2014-06-02,315000.0,3,960,6634,1.0,0.0,0.0,3,0.0,1952,0.0,98125,47.7264,-122.31,1570,7203,POINT (-122.31 47.7264),6
85,2014-11-14,940000.0,3,2140,3600,2.0,0.0,0.0,3,240.0,1925,0.0,98119,47.6337,-122.365,2020,4800,POINT (-122.365 47.6337),11
86,2014-11-03,305000.0,5,2660,8400,1.5,0.0,0.0,5,0.0,1961,0.0,98092,47.2909,-122.189,1590,8165,POINT (-122.189 47.2909),11
87,2014-06-18,461000.0,3,2770,6278,2.0,0.0,0.0,3,790.0,2006,0.0,98056,47.5228,-122.199,1900,7349,POINT (-122.199 47.5228),6
88,2014-05-19,215000.0,2,1610,2040,2.0,0.0,0.0,4,0.0,1979,0.0,98056,47.518,-122.194,1950,2025,POINT (-122.194 47.518),5
89,2014-09-04,335000.0,2,1030,1066,2.0,0.0,0.0,3,265.0,2006,0.0,98136,47.5394,-122.387,1030,1106,POINT (-122.387 47.5394),9
90,2014-05-22,243500.0,4,1980,7403,2.0,0.0,0.0,3,0.0,1988,0.0,98023,47.2897,-122.37200000000001,1980,7510,POINT (-122.372 47.2897),5
91,2015-03-11,1100000.0,5,3520,6353,2.0,0.0,0.0,4,0.0,2001,0.0,98199,47.6506,-122.391,2520,6250,POINT (-122.391 47.6506),3
92,2015-02-26,153000.0,3,1200,10500,1.0,0.0,0.0,3,0.0,1962,0.0,98023,47.321999999999996,-122.351,1350,10500,POINT (-122.351 47.322),2
93,2014-07-25,430000.0,3,1580,5000,1.0,0.0,0.0,3,290.0,1939,0.0,98117,47.687,-122.38600000000001,1570,4500,POINT (-122.386 47.687),7
94,2014-12-23,700000.0,3,1580,5000,1.0,0.0,0.0,3,290.0,1939,0.0,98117,47.687,-122.38600000000001,1570,4500,POINT (-122.386 47.687),12
95,2014-09-08,905000.0,4,3300,10250,1.0,0.0,0.0,3,910.0,1946,1991.0,98040,47.5873,-122.249,1950,6045,POINT (-122.249 47.5873),9
96,2015-03-30,247500.0,3,1960,15681,1.0,0.0,0.0,3,0.0,1967,0.0,98032,47.3576,-122.277,1750,15616,POINT (-122.277 47.3576),3
97,2014-09-12,199000.0,4,1160,6400,1.0,0.0,0.0,4,0.0,1975,0.0,98023,47.3036,-122.37799999999999,1160,6400,POINT (-122.378 47.3036),9
98,2014-07-11,314000.0,3,1810,41800,1.0,0.0,0.0,5,600.0,1980,0.0,98038,47.4109,-121.958,1650,135036,POINT (-121.958 47.4109),7
99,2014-05-16,437500.0,3,2320,36847,2.0,0.0,2.0,3,0.0,1992,0.0,98045,47.4838,-121.714,2550,35065,POINT (-121.714 47.4838),5
100,2014-06-11,850830.0,3,2070,13241,1.5,0.0,0.0,5,800.0,1910,0.0,98102,47.6415,-122.315,2200,4500,POINT (-122.315 47.6415),6
101,2014-10-27,555000.0,3,1980,3478,1.5,0.0,0.0,4,540.0,1929,0.0,98117,47.6775,-122.37200000000001,1610,3478,POINT (-122.372 47.6775),10
102,2014-12-12,699950.0,3,2190,107593,2.0,0.0,0.0,4,0.0,1983,0.0,98077,47.7731,-122.08,2570,47777,POINT (-122.08 47.7731),12
103,2014-10-07,1090000.0,3,2920,8113,2.0,0.0,0.0,3,0.0,1950,2010.0,98004,47.5814,-122.196,2370,8113,POINT (-122.196 47.5814),10
104,2014-09-24,290000.0,3,1210,33919,1.0,0.0,0.0,3,0.0,1954,0.0,98058,47.4375,-122.184,1640,14910,POINT (-122.184 47.4375),9
105,2015-04-02,375000.0,3,2340,10005,1.0,0.0,0.0,4,880.0,1978,0.0,98058,47.4431,-122.133,2250,8162,POINT (-122.133 47.4431),4
106,2014-05-23,460000.0,3,1670,4005,1.5,0.0,0.0,4,500.0,1939,0.0,98117,47.6878,-122.38,1240,4005,POINT (-122.38 47.6878),5
107,2014-07-23,188500.0,2,1240,2493,1.0,0.0,0.0,4,0.0,1985,0.0,98198,47.3813,-122.322,1270,4966,POINT (-122.322 47.3813),7
108,2015-03-05,680000.0,4,3140,28037,2.0,0.0,0.0,4,0.0,1991,0.0,98077,47.7304,-122.08200000000001,2990,35001,POINT (-122.082 47.7304),3
109,2014-08-27,470000.0,5,2030,12342,2.0,0.0,0.0,4,0.0,1942,0.0,98052,47.6417,-122.109,2500,9433,POINT (-122.109 47.6417),8
110,2014-07-25,597750.0,4,2310,9624,2.0,0.0,0.0,3,0.0,1984,0.0,98027,47.5386,-122.053,1940,9636,POINT (-122.053 47.5386),7
111,2015-03-04,570000.0,3,1260,3328,1.0,0.0,0.0,5,560.0,1905,0.0,98103,47.6823,-122.34899999999999,1380,3536,POINT (-122.349 47.6823),3
112,2014-09-16,272500.0,3,1540,12600,1.0,0.0,0.0,4,0.0,1980,0.0,98038,47.3624,-122.031,1540,11656,POINT (-122.031 47.3624),9
113,2014-11-24,329950.0,3,2080,5969,1.0,0.0,2.0,3,1000.0,1971,0.0,98108,47.5474,-122.295,2090,5500,POINT (-122.295 47.5474),11
114,2014-10-28,480000.0,4,3230,16171,2.0,0.0,0.0,3,710.0,2001,0.0,98001,47.3183,-122.25299999999999,2640,8517,POINT (-122.253 47.3183),10
115,2014-11-21,740500.0,3,4380,6350,2.0,0.0,0.0,3,0.0,1900,0.0,98117,47.6981,-122.368,1830,6350,POINT (-122.368 47.6981),11
116,2014-06-26,518500.0,3,1590,1102,3.0,0.0,0.0,3,0.0,2010,0.0,98103,47.6824,-122.34700000000001,1620,3166,POINT (-122.347 47.6824),6
117,2014-06-23,205425.0,2,880,6780,1.0,0.0,0.0,4,0.0,1945,0.0,98178,47.5009,-122.24799999999999,1190,6780,POINT (-122.248 47.5009),6
118,2015-01-08,171800.0,4,1570,9600,1.0,0.0,0.0,3,0.0,1950,0.0,98168,47.4965,-122.303,1880,9000,POINT (-122.303 47.4965),1
119,2015-05-11,535000.0,4,1610,2982,1.5,0.0,0.0,4,0.0,1925,0.0,98144,47.586999999999996,-122.294,1610,4040,POINT (-122.294 47.587),5
120,2015-01-02,660000.0,3,2400,6474,1.0,0.0,2.0,3,840.0,1964,0.0,98177,47.7728,-122.38600000000001,2340,10856,POINT (-122.386 47.7728),1
121,2014-11-19,391500.0,3,1450,9132,1.0,0.0,0.0,3,0.0,1987,0.0,98034,47.7288,-122.226,1580,9104,POINT (-122.226 47.7288),11
122,2015-04-06,395000.0,2,770,6000,1.0,0.0,0.0,3,0.0,1953,0.0,98117,47.6999,-122.36399999999999,1710,6000,POINT (-122.364 47.6999),4
123,2014-11-04,445000.0,4,2100,4400,1.5,0.0,0.0,5,380.0,1924,0.0,98118,47.5299,-122.266,1850,4400,POINT (-122.266 47.5299),11
124,2014-06-18,770000.0,3,2910,10204,2.0,0.0,0.0,3,0.0,1990,0.0,98052,47.6897,-122.098,2700,13992,POINT (-122.098 47.6897),6
125,2015-03-02,1450000.0,4,2750,17789,1.5,0.0,0.0,3,770.0,1914,1992.0,98004,47.6141,-122.212,3060,11275,POINT (-122.212 47.6141),3
126,2014-07-17,445000.0,3,2100,8201,1.0,0.0,2.0,3,480.0,1967,0.0,98178,47.5091,-122.244,2660,8712,POINT (-122.244 47.5091),7
127,2014-07-17,260000.0,4,2160,8811,1.0,0.0,0.0,3,800.0,1978,0.0,98023,47.3129,-122.39,2090,8400,POINT (-122.39 47.3129),7
128,2014-06-13,822500.0,5,2320,4960,2.0,0.0,0.0,5,600.0,1926,0.0,98103,47.6763,-122.352,1700,4960,POINT (-122.352 47.6763),6
129,2015-04-06,430000.0,4,2070,4310,2.0,0.0,0.0,3,0.0,2004,0.0,98065,47.5319,-121.85,1970,3748,POINT (-121.85 47.5319),4
130,2015-01-05,212000.0,3,1060,7875,1.0,0.0,0.0,4,0.0,1986,0.0,98092,47.2761,-122.152,1420,7680,POINT (-122.152 47.2761),1
131,2015-04-28,660500.0,4,2010,9603,1.0,0.0,0.0,3,570.0,1986,0.0,98027,47.5343,-122.054,2060,9793,POINT (-122.054 47.5343),4
132,2014-06-12,784000.0,3,3950,111078,1.5,0.0,0.0,3,1490.0,1989,0.0,98052,47.696999999999996,-122.072,2480,88500,POINT (-122.072 47.697),6
133,2014-05-12,453246.0,3,2010,2287,2.0,0.0,0.0,3,620.0,2014,0.0,98029,47.5517,-121.99799999999999,1690,1662,POINT (-121.998 47.5517),5
134,2015-01-26,675000.0,4,2140,2278,3.0,0.0,0.0,3,0.0,2005,0.0,98107,47.6734,-122.38,1540,2285,POINT (-122.38 47.6734),1
135,2014-08-13,199000.0,3,1320,17390,1.0,0.0,0.0,4,0.0,1956,0.0,98003,47.3257,-122.296,1550,19265,POINT (-122.296 47.3257),8
136,2014-08-05,220000.0,4,2020,7840,1.0,0.0,0.0,3,1010.0,1968,0.0,98003,47.3309,-122.29899999999999,1750,8140,POINT (-122.299 47.3309),8
137,2014-05-29,452000.0,4,2590,10002,1.0,0.0,0.0,4,1250.0,1968,0.0,98028,47.7689,-122.266,1550,10436,POINT (-122.266 47.7689),5
138,2014-07-07,382500.0,2,1190,4440,1.0,0.0,0.0,3,0.0,1981,0.0,98125,47.7135,-122.287,1060,5715,POINT (-122.287 47.7135),7
139,2014-05-07,519950.0,3,1170,1249,3.0,0.0,0.0,3,0.0,2014,0.0,98107,47.6722,-122.381,1350,1310,POINT (-122.381 47.6722),5
140,2014-06-27,665000.0,2,1110,3200,1.0,0.0,0.0,3,0.0,1925,0.0,98119,47.6338,-122.35799999999999,1170,3600,POINT (-122.358 47.6338),6
141,2014-07-08,527700.0,5,2820,9375,1.0,0.0,0.0,4,1270.0,1968,0.0,98006,47.5707,-122.12799999999999,2820,9375,POINT (-122.128 47.5707),7
142,2015-05-08,205000.0,3,1610,8579,1.0,0.0,0.0,4,600.0,1962,0.0,98058,47.4563,-122.171,1610,8579,POINT (-122.171 47.4563),5
143,2015-04-15,420000.0,3,1060,8097,1.0,0.0,0.0,4,120.0,1923,0.0,98133,47.7144,-122.351,1560,7940,POINT (-122.351 47.7144),4
144,2015-02-27,500000.0,4,2030,8517,1.0,0.0,0.0,4,650.0,1961,0.0,98006,47.5495,-122.17399999999999,2230,8824,POINT (-122.174 47.5495),2
145,2014-12-03,921500.0,4,3670,315374,2.0,0.0,0.0,4,0.0,1994,0.0,98077,47.7421,-122.02600000000001,2840,87991,POINT (-122.026 47.7421),12
146,2014-06-25,890000.0,4,2550,4000,2.0,0.0,0.0,3,180.0,1905,0.0,98109,47.6354,-122.353,2200,4000,POINT (-122.353 47.6354),6
147,2014-08-06,430000.0,2,2420,60984,2.0,0.0,0.0,3,0.0,2007,0.0,98027,47.5262,-121.943,1940,193842,POINT (-121.943 47.5262),8
148,2014-10-30,258000.0,5,2260,12500,1.0,0.0,0.0,4,1130.0,1960,0.0,98032,47.3887,-122.286,1360,18000,POINT (-122.286 47.3887),10
149,2014-11-04,511000.0,3,1430,3455,1.0,0.0,0.0,3,450.0,1947,0.0,98103,47.6873,-122.336,1450,4599,POINT (-122.336 47.6873),11
150,2014-08-20,532170.0,3,1360,3090,2.0,0.0,0.0,3,0.0,1990,0.0,98103,47.6838,-122.353,1500,3090,POINT (-122.353 47.6838),8
151,2015-04-09,560000.0,3,1110,5000,1.5,0.0,0.0,3,0.0,1947,0.0,98107,47.655,-122.359,1420,5000,POINT (-122.359 47.655),4
152,2015-03-31,282950.0,3,1250,8200,1.0,0.0,0.0,4,0.0,1954,0.0,98003,47.3255,-122.304,1680,8633,POINT (-122.304 47.3255),3
153,2015-04-01,2250000.0,4,5180,19850,2.0,0.0,3.0,3,1640.0,2006,0.0,98006,47.562,-122.162,3160,9750,POINT (-122.162 47.562),4
154,2014-05-16,350000.0,1,700,5100,1.0,0.0,0.0,3,0.0,1942,0.0,98115,47.678999999999995,-122.3,1010,5100,POINT (-122.3 47.67899999999999),5
155,2014-07-28,215000.0,3,1180,7669,1.0,0.0,0.0,4,0.0,1967,0.0,98058,47.4479,-122.176,1190,7669,POINT (-122.176 47.4479),7
156,2014-11-20,650000.0,5,3960,25245,2.0,0.0,0.0,3,1460.0,1996,0.0,98056,47.525,-122.17200000000001,2640,13675,POINT (-122.172 47.525),11
157,2014-08-07,320000.0,4,2640,7500,1.0,0.0,0.0,3,1020.0,1967,0.0,98023,47.3135,-122.369,1980,7875,POINT (-122.369 47.3135),8
158,2014-11-13,247000.0,3,1270,7198,1.5,0.0,0.0,3,0.0,1916,2013.0,98022,47.2086,-121.99600000000001,1160,7198,POINT (-121.996 47.2086),11
159,2014-10-03,320000.0,4,1760,11180,1.0,0.0,0.0,4,0.0,1968,0.0,98059,47.4715,-122.118,1730,11180,POINT (-122.118 47.4715),10
160,2014-05-07,255000.0,5,2060,8632,1.0,0.0,0.0,3,1030.0,1962,0.0,98146,47.4877,-122.335,1010,11680,POINT (-122.335 47.4877),5
161,2015-03-09,438000.0,3,1780,9660,1.0,0.0,0.0,3,0.0,1962,0.0,98034,47.7171,-122.193,1200,9660,POINT (-122.193 47.7171),3
162,2015-03-04,900000.0,3,3400,16603,2.0,0.0,0.0,3,0.0,2000,0.0,98075,47.6012,-122.023,3400,12601,POINT (-122.023 47.6012),3
163,2014-06-20,441000.0,3,1910,7280,1.0,0.0,0.0,3,750.0,1979,0.0,98034,47.7319,-122.22399999999999,1710,8152,POINT (-122.224 47.7319),6
164,2014-08-12,420000.0,3,2020,38332,1.0,0.0,0.0,4,1010.0,1975,0.0,98027,47.4582,-122.023,2110,36590,POINT (-122.023 47.4582),8
165,2014-12-08,370000.0,3,1580,7000,1.0,0.0,0.0,3,400.0,1976,0.0,98034,47.7209,-122.16799999999999,1640,7500,POINT (-122.168 47.7209),12
